Sector,index,open,high,low,close,adjclose,volume,90 Day Moving Average,CAGR,CAGR_Volume
Basic Materials,2014-01-01,380.598623752594,395.9083127975464,340.73038053512573,358.9654076099396,299.0232424736023,1084708663.0,352.9989191638099,-0.002267660003307803,-0.00822189688186592
Basic Materials,2014-02-01,359.0682621002197,395.4301793575287,338.14834690093994,376.8956365585327,315.0106966495514,1003727569.0,352.84736101362444,-0.002267660003307803,-0.00822189688186592
Basic Materials,2014-03-01,375.3000428676605,391.78334975242615,341.0892126560211,361.012109041214,304.1307442188263,994854825.0,352.54496134387125,-0.002267660003307803,-0.00822189688186592
Basic Materials,2014-04-01,361.8095531463623,378.9303894042969,338.5705213546753,361.8112041950226,304.3551971912384,903747881.0,352.0363026671939,-0.002267660003307803,-0.00822189688186592
Basic Materials,2014-05-01,360.8023052215576,372.7656991481781,334.5997281074524,344.7689242362976,289.0386860370636,769515023.0,351.3034967793359,-0.002267660003307803,-0.00822189688186592
Basic Materials,2014-06-01,345.32671761512756,369.9867844581604,335.62666606903076,359.50869393348694,302.04816699028015,801369166.0,350.63517830371853,-0.002267660003307803,-0.00822189688186592
Basic Materials,2014-07-01,399.07606744766235,426.7834839820862,370.97939682006836,389.67856001853943,330.7140808105469,954178425.0,362.706900718477,-0.002442095388177634,-0.008854350488163298
Basic Materials,2014-08-01,390.3481824398041,411.6119751930237,378.34477400779724,399.37068128585815,339.10484313964844,694182961.0,362.2741121027205,-0.002442095388177634,-0.008854350488163298
Basic Materials,2014-09-01,399.1454584598541,409.6681830883026,353.58803153038025,360.0508351325989,304.6037344932556,879539725.0,361.3621178362105,-0.002442095388177634,-0.008854350488163298
Basic Materials,2014-10-01,360.19628858566284,394.30014872550964,324.650151014328,367.0856046676636,311.09524059295654,1462873481.0,360.43425533506604,-0.002442095388177634,-0.008854350488163298
Basic Materials,2014-11-01,367.8706030845642,390.5214433670044,340.2169704437256,355.71091055870056,299.790150642395,1040741532.0,359.38066192997826,-0.002442095388177634,-0.008854350488163298
Basic Materials,2014-12-01,355.29136419296265,372.4571216106415,324.1296217441559,348.1436376571655,294.2953796386719,1337708798.0,357.89746079709795,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-01-01,348.99378490448,372.2873520851135,310.5793979167938,333.14992332458496,281.91071367263794,1342199260.0,356.20514176421693,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-02-01,333.7990162372589,371.5570487976074,308.89576268196106,343.6260607242584,286.8901014328003,1024776952.0,356.3889321698083,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-03-01,343.94105553627014,362.0092396736145,313.3908324241638,338.559850692749,283.925030708313,1204743519.0,356.4633414745331,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-04-01,337.7977285385132,366.2743148803711,320.2349271774292,346.5312113761902,291.6012737751007,1163739078.0,356.6105005370246,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-05-01,347.8945391178131,367.5726466178894,321.8481824398041,336.7714374065399,284.6240825653076,926324706.0,356.6059460984336,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-06-01,338.0415904521942,347.4176526069641,312.4368975162506,318.6637897491455,269.8938319683075,1009198023.0,356.42697228060825,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-07-01,320.5240144729614,325.98552894592285,272.09621024131775,289.6539385318756,243.9727222919464,1416680648.0,356.02939873271515,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-08-01,287.370906829834,301.75484895706177,239.7548472881317,267.82477474212646,226.38510882854462,1707187264.0,355.27884137365555,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-09-01,262.39280462265015,275.7831838130951,229.73454475402832,243.19848489761353,204.88938128948212,1666051558.0,354.27674120797053,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-10-01,244.50522756576538,291.752653837204,237.6818174123764,271.20363450050354,228.1004697084427,1528035806.0,353.4436705006493,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-11-01,270.96545577049255,289.8743185997009,248.01302886009216,270.3467410802841,227.63603222370148,1254546911.0,352.6307731933064,-0.002442095388177634,-0.008854350488163298
Basic Materials,2015-12-01,272.22197127342224,281.5188636779785,238.47310400009155,254.0507619380951,213.17108809947968,1660231295.0,351.5382816698816,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-01-01,250.87689566612244,259.46234714984894,208.44401276111603,233.51583218574524,194.756068110466,2032722479.0,350.46226315365897,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-02-01,231.82038044929504,259.8478014469147,202.03242528438568,240.74431586265564,203.9514696598053,2016833682.0,349.37561665773393,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-03-01,243.12484788894653,286.46295714378357,235.189621925354,276.68613266944885,236.58095622062683,2100315992.0,348.71293479998906,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-04-01,272.48401379585266,331.2198534011841,264.0532567501068,318.597882270813,274.31805992126465,1886864388.0,348.7293278892835,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-05-01,320.16234731674194,334.9331007003784,288.1117401123047,310.6867413520813,268.47508454322815,1935183533.0,348.6796528882451,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-06-01,309.42038345336914,342.66212129592896,293.3240911960602,331.91257524490356,288.6421580314636,1871644072.0,348.8480704108874,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-07-01,331.52810192108154,371.68075704574585,318.3565139770508,355.14568614959717,309.0513801574707,1582734020.0,349.28530024554993,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-08-01,354.5858345031738,378.8443965911865,327.75212144851685,347.7135581970215,301.69620513916016,1631775201.0,349.65600645409694,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-09-01,347.8082547187805,368.27128553390503,328.07583379745483,349.2356038093567,303.94854736328125,1629498468.0,350.24023535119164,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-10-01,349.12310314178467,360.400532245636,313.7691721916199,331.6545433998108,287.6092104911804,1342393114.0,350.6143135878775,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-11-01,333.4531846046448,392.308714389801,304.623028755188,366.52386474609375,318.86920404434204,1994187235.0,351.5489676356316,-0.002442095388177634,-0.008854350488163298
Basic Materials,2016-12-01,367.60969734191895,406.0778045654297,354.7243142127991,377.9462127685547,328.78898191452026,1601630809.0,352.3486478077041,-0.002442095388177634,-0.008854350488163298
Basic Materials,2017-01-01,380.91355991363525,416.27362632751465,365.910680770874,393.47098684310913,341.74725008010864,1373843097.0,353.11310321092606,-0.002442095388177634,-0.008854350488163298
Basic Materials,2017-02-01,421.64658880233765,450.9209084510803,385.2191672325134,406.6978015899658,357.768666267395,1777603570.0,377.50954464409085,-0.002616530773047465,-0.009486804094460677
Basic Materials,2017-03-01,411.0271978378296,423.8930974006653,379.8911337852478,401.85461235046387,354.1526517868042,1444995572.0,378.0442111876276,-0.002616530773047465,-0.009486804094460677
